service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
L323,1,0,0,0,0,0,0,20230410,20240101,"2023-04-10 → 2024-01-01 (5 lun, mer, jeu, sam)"
L325,0,0,1,0,0,0,0,20230222,20231220,2023-01-04 → 12-20 (37 mer)
L326,1,1,0,1,1,0,0,20230220,20231222,"2023-01-03 → 12-22 (34 lun, 37 mar, 36 jeu, 37 ven)"
L327,1,1,1,1,1,0,0,20230220,20231222,"2023-01-03 → 12-22 (34 lun, 37 mar, 37 mer, 36 jeu, 37 ven)"
L328,0,0,0,0,0,0,1,20230226,20231224,2023-01-08 → 12-24 (37 dim)
L329,0,0,0,0,0,1,0,20230225,20231223,2023-01-07 → 12-23 (36 sam)
L330,0,0,0,0,0,1,1,20230225,20231224,"2023-01-07 → 12-24 (36 sam, 37 dim)"
L337,0,0,0,0,0,0,1,20230219,20231231,2023-02-12 → 12-31 (7 dim)
L338,0,0,0,0,0,1,0,20230218,20231230,2023-02-11 → 12-30 (7 sam)
L339,0,0,0,0,0,1,1,20230218,20231231,"2023-02-11 → 12-31 (7 sam, 7 dim)"
L340,1,1,1,1,1,0,0,20230213,20231229,"2023-01-02 → 12-29 (6 lun, 7 mar, 6 mer, 7 jeu, 7 ven)"
N1,0,0,1,0,0,0,0,20230222,20230405,2022-11-09 → 2023-04-05 (18 mer)
N10,1,1,1,1,1,1,1,20230220,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven, 17 sam, 17 dim)"
N11,0,0,1,0,0,1,0,20230222,20230405,"2022-11-09 → 2023-04-05 (18 mer, 17 sam)"
N2,1,1,0,1,1,0,0,20230220,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 jeu, 17 ven)"
N23,0,0,0,0,0,0,1,20230430,20230702,2022-09-04 → 2023-07-02 (18 dim)
N24,1,1,1,1,1,1,1,20230424,20230702,"2022-08-29 → 2023-07-02 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven, 18 sam, 18 dim)"
N25,0,0,0,0,0,1,0,20230429,20230701,2022-09-03 → 2023-07-01 (18 sam)
N26,0,0,0,0,1,0,0,20230428,20230630,2022-09-02 → 2023-06-30 (18 ven)
N27,0,0,1,0,0,0,0,20230426,20230628,2022-08-31 → 2023-06-28 (18 mer)
N28,0,0,1,0,0,1,0,20230426,20230701,"2022-08-31 → 2023-07-01 (18 mer, 18 sam)"
N29,1,1,0,1,1,0,0,20230424,20230630,"2022-08-29 → 2023-06-30 (15 lun, 18 mar, 17 jeu, 18 ven)"
N3,1,1,1,1,1,0,0,20230220,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven)"
N30,1,1,0,1,1,1,0,20230424,20230701,"2022-08-29 → 2023-07-01 (15 lun, 18 mar, 17 jeu, 18 ven, 18 sam)"
N31,1,1,1,1,0,0,0,20230424,20230629,"2022-08-29 → 2023-06-29 (15 lun, 18 mar, 18 mer, 17 jeu)"
N32,1,1,1,1,1,0,0,20230424,20230630,"2022-08-29 → 2023-06-30 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven)"
N33,1,1,1,1,1,1,0,20230424,20230701,"2022-08-29 → 2023-07-01 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven, 18 sam)"
N4,0,0,0,0,0,0,1,20230226,20230402,2022-11-13 → 2023-04-02 (17 dim)
N45,1,1,1,1,1,0,0,20230213,20230217,"2022-12-19 → 2023-02-17 (5 lun, 4 mar, 4 mer, 4 jeu, 4 ven)"
N46,1,1,1,1,1,1,0,20230213,20230218,"2022-12-19 → 2023-02-18 (5 lun, 4 mar, 4 mer, 4 jeu, 4 ven, 4 sam)"
N47,0,0,0,0,0,0,1,20230219,20230219,2022-12-25 → 2023-02-19 (4 dim)
N48,0,0,0,0,0,1,0,20230218,20230218,2022-12-24 → 2023-02-18 (4 sam)
N49,1,1,1,1,1,1,1,20230213,20230219,"2022-12-19 → 2023-02-19 (5 lun, 4 mar, 4 mer, 4 jeu, 4 ven, 4 sam, 4 dim)"
N5,0,0,0,0,0,1,0,20230225,20230401,2022-11-12 → 2023-04-01 (17 sam)
N55,0,0,0,0,0,0,1,20230409,20230423,2022-10-30 → 2023-04-23 (5 dim)
N56,0,1,1,1,1,1,1,20230408,20230423,"2022-10-24 → 2023-04-23 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven, 5 sam, 5 dim)"
N57,0,1,1,1,1,1,0,20230408,20230422,"2022-10-24 → 2023-04-22 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven, 5 sam)"
N58,1,1,1,1,1,0,0,20230411,20230421,"2022-10-24 → 2023-04-21 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven)"
N59,0,0,0,0,0,1,0,20230408,20230422,2022-10-29 → 2023-04-22 (5 sam)
N6,0,0,0,0,1,0,0,20230224,20230407,2022-11-18 → 2023-04-07 (17 ven)
N7,1,1,0,1,1,1,0,20230220,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 jeu, 17 ven, 17 sam)"
N8,1,1,1,1,0,0,0,20230220,20230406,"2022-11-07 → 2023-04-06 (17 lun, 18 mar, 18 mer, 18 jeu)"
N9,1,1,1,1,1,1,0,20230220,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven, 17 sam)"
