service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
L31,1,0,0,0,0,0,0,20230410,20230529,"2022-11-01 → 2023-05-29 (3 lun, mar, jeu, ven)"
L315,0,0,0,0,0,0,1,20230430,20230702,2022-09-11 → 2023-07-02 (17 dim)
L316,0,0,0,0,0,1,1,20230429,20230702,"2022-09-10 → 2023-07-02 (17 sam, 17 dim)"
L317,0,0,0,0,0,1,0,20230429,20230701,2022-09-10 → 2023-07-01 (17 sam)
L318,0,0,1,0,0,0,0,20230426,20230705,2022-09-07 → 2023-07-05 (18 mer)
L319,1,1,0,1,1,0,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 17 jeu, 18 ven)"
L320,1,1,1,1,1,0,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven)"
L327,0,0,0,0,0,0,1,20230409,20230423,2022-10-30 → 2023-04-23 (5 dim)
L328,0,0,0,0,0,1,0,20230408,20230422,2022-10-29 → 2023-04-22 (5 sam)
L329,0,0,0,0,0,1,1,20230408,20230423,"2022-10-29 → 2023-04-23 (5 sam, 5 dim)"
L33,0,0,0,0,0,0,1,20230402,20230402,2022-11-13 → 2023-04-02 (17 dim)
L330,1,1,1,1,1,0,0,20230411,20230421,"2022-10-24 → 2023-04-21 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven)"
L34,0,0,0,0,0,1,1,20230401,20230402,"2022-11-12 → 2023-04-02 (17 sam, 17 dim)"
L35,0,0,0,0,0,1,0,20230401,20230401,2022-11-12 → 2023-04-01 (17 sam)
L36,0,0,1,0,0,0,0,20230329,20230405,2022-11-09 → 2023-04-05 (18 mer)
L37,1,1,0,1,1,0,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 jeu, 17 ven)"
L38,1,1,1,1,1,0,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven)"
N1,0,0,0,0,0,0,1,20230430,20230702,2022-09-11 → 2023-07-02 (17 dim)
N10,1,1,1,1,1,0,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven)"
N11,1,1,1,1,1,1,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven, 17 sam)"
N2,1,1,1,1,1,1,1,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 18 mer, 17 jeu, 18 ven, 17 sam, 17 dim)"
N23,0,0,0,0,0,0,1,20230409,20230423,2022-10-30 → 2023-04-23 (5 dim)
N24,0,1,1,1,1,1,1,20230408,20230423,"2022-10-24 → 2023-04-23 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven, 5 sam, 5 dim)"
N25,0,1,1,1,1,1,0,20230408,20230422,"2022-10-24 → 2023-04-22 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven, 5 sam)"
N26,1,1,1,1,1,0,0,20230411,20230421,"2022-10-24 → 2023-04-21 (3 lun, 3 mar, 4 mer, 4 jeu, 4 ven)"
N27,0,0,0,0,0,1,0,20230408,20230422,2022-10-29 → 2023-04-22 (5 sam)
N3,0,0,0,0,0,1,0,20230429,20230701,2022-09-10 → 2023-07-01 (17 sam)
N33,0,0,1,0,0,0,0,20230329,20230405,2022-11-09 → 2023-04-05 (18 mer)
N34,1,1,0,1,1,0,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 jeu, 17 ven)"
N35,1,1,1,1,1,0,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven)"
N36,0,0,0,0,0,0,1,20230402,20230402,2022-11-13 → 2023-04-02 (17 dim)
N37,0,0,0,0,0,1,0,20230401,20230401,2022-11-12 → 2023-04-01 (17 sam)
N38,0,0,0,0,1,0,0,20230331,20230407,2022-11-18 → 2023-04-07 (17 ven)
N39,1,1,0,1,1,1,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 jeu, 17 ven, 17 sam)"
N4,0,0,0,0,1,0,0,20230428,20230707,2022-09-09 → 2023-07-07 (18 ven)
N40,1,1,1,1,0,0,0,20230327,20230406,"2022-11-07 → 2023-04-06 (17 lun, 18 mar, 18 mer, 18 jeu)"
N41,1,1,1,1,1,1,0,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven, 17 sam)"
N42,1,1,1,1,1,1,1,20230327,20230407,"2022-11-07 → 2023-04-07 (17 lun, 18 mar, 18 mer, 18 jeu, 17 ven, 17 sam, 17 dim)"
N43,0,0,1,0,0,1,0,20230329,20230405,"2022-11-09 → 2023-04-05 (18 mer, 17 sam)"
N5,0,0,1,0,0,0,0,20230426,20230705,2022-09-07 → 2023-07-05 (18 mer)
N6,0,0,1,0,0,1,0,20230426,20230705,"2022-09-07 → 2023-07-05 (18 mer, 17 sam)"
N65,1,0,0,0,0,0,0,20230410,20230529,"2022-11-01 → 2023-05-29 (3 lun, mar, jeu)"
N7,1,1,0,1,1,0,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 17 jeu, 18 ven)"
N8,1,1,0,1,1,1,0,20230424,20230707,"2022-09-05 → 2023-07-07 (15 lun, 18 mar, 17 jeu, 18 ven, 17 sam)"
N9,1,1,1,1,0,0,0,20230424,20230706,"2022-09-05 → 2023-07-06 (15 lun, 18 mar, 18 mer, 17 jeu)"
