trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
N16,07:30:00,07:30:00,9105,1,,0,1,,1
N16,07:32:00,07:32:00,9814,2,,0,0,,1
N16,07:35:00,07:35:00,9815,3,,0,0,,1
N16,07:37:00,07:37:00,9882,4,,0,0,,1
N16,07:39:00,07:39:00,9038,5,,0,0,,1
N16,07:41:00,07:41:00,9205,6,,0,0,,1
N16,07:43:00,07:43:00,9022,7,,0,0,,1
N16,07:44:00,07:44:00,9039,8,,0,0,,1
N16,07:45:00,07:45:00,9197,9,,0,0,,1
N16,07:46:00,07:46:00,9818,10,,0,0,,1
N16,07:48:00,07:48:00,9062,11,,0,0,,1
N16,07:50:00,07:50:00,9127,12,,0,0,,1
N16,07:52:00,07:52:00,9075,13,,0,0,,1
N16,07:54:00,07:54:00,9003,14,,0,0,,1
N16,07:56:00,07:56:00,9063,15,,1,0,,1
N279,07:30:00,07:30:00,9105,1,,0,1,,1
N279,07:32:00,07:32:00,9814,2,,0,0,,1
N279,07:35:00,07:35:00,9815,3,,0,0,,1
N279,07:37:00,07:37:00,9882,4,,0,0,,1
N279,07:39:00,07:39:00,9038,5,,0,0,,1
N279,07:41:00,07:41:00,9205,6,,0,0,,1
N279,07:43:00,07:43:00,9022,7,,0,0,,1
N279,07:44:00,07:44:00,9039,8,,0,0,,1
N279,07:45:00,07:45:00,9197,9,,0,0,,1
N279,07:46:00,07:46:00,9818,10,,0,0,,1
N279,07:48:00,07:48:00,9062,11,,0,0,,1
N279,07:50:00,07:50:00,9127,12,,0,0,,1
N279,07:52:00,07:52:00,9075,13,,0,0,,1
N279,07:54:00,07:54:00,9003,14,,0,0,,1
N279,07:56:00,07:56:00,9063,15,,1,0,,1
N531,07:30:00,07:30:00,9105,1,,0,1,,1
N531,07:32:00,07:32:00,9814,2,,0,0,,1
N531,07:35:00,07:35:00,9815,3,,0,0,,1
N531,07:37:00,07:37:00,9882,4,,0,0,,1
N531,07:39:00,07:39:00,9038,5,,0,0,,1
N531,07:41:00,07:41:00,9205,6,,0,0,,1
N531,07:43:00,07:43:00,9022,7,,0,0,,1
N531,07:44:00,07:44:00,9039,8,,0,0,,1
N531,07:45:00,07:45:00,9197,9,,0,0,,1
N531,07:46:00,07:46:00,9818,10,,0,0,,1
N531,07:48:00,07:48:00,9062,11,,0,0,,1
N531,07:50:00,07:50:00,9127,12,,0,0,,1
N531,07:52:00,07:52:00,9075,13,,0,0,,1
N531,07:54:00,07:54:00,9003,14,,0,0,,1
N531,07:56:00,07:56:00,9063,15,,1,0,,1
N1046,08:40:00,08:40:00,9105,1,,0,1,,1
N1046,08:42:00,08:42:00,9814,2,,0,0,,1
N1046,08:45:00,08:45:00,9815,3,,0,0,,1
N1046,08:47:00,08:47:00,9882,4,,0,0,,1
N1046,08:49:00,08:49:00,9038,5,,0,0,,1
N1046,08:51:00,08:51:00,9205,6,,0,0,,1
N1046,08:53:00,08:53:00,9022,7,,0,0,,1
N1046,08:54:00,08:54:00,9039,8,,0,0,,1
N1046,08:55:00,08:55:00,9197,9,,0,0,,1
N1046,08:56:00,08:56:00,9818,10,,0,0,,1
N1046,08:58:00,08:58:00,9062,11,,0,0,,1
N1046,09:00:00,09:00:00,9127,12,,0,0,,1
N1046,09:02:00,09:02:00,9075,13,,0,0,,1
N1046,09:04:00,09:04:00,9003,14,,0,0,,1
N1046,09:06:00,09:06:00,9063,15,,1,0,,1
N301,08:40:00,08:40:00,9105,1,,0,1,,1
N301,08:42:00,08:42:00,9814,2,,0,0,,1
N301,08:45:00,08:45:00,9815,3,,0,0,,1
N301,08:47:00,08:47:00,9882,4,,0,0,,1
N301,08:49:00,08:49:00,9038,5,,0,0,,1
N301,08:51:00,08:51:00,9205,6,,0,0,,1
N301,08:53:00,08:53:00,9022,7,,0,0,,1
N301,08:54:00,08:54:00,9039,8,,0,0,,1
N301,08:55:00,08:55:00,9197,9,,0,0,,1
N301,08:56:00,08:56:00,9818,10,,0,0,,1
N301,08:58:00,08:58:00,9062,11,,0,0,,1
N301,09:00:00,09:00:00,9127,12,,0,0,,1
N301,09:02:00,09:02:00,9075,13,,0,0,,1
N301,09:04:00,09:04:00,9003,14,,0,0,,1
N301,09:06:00,09:06:00,9063,15,,1,0,,1
N40,08:40:00,08:40:00,9105,1,,0,1,,1
N40,08:42:00,08:42:00,9814,2,,0,0,,1
N40,08:45:00,08:45:00,9815,3,,0,0,,1
N40,08:47:00,08:47:00,9882,4,,0,0,,1
N40,08:49:00,08:49:00,9038,5,,0,0,,1
N40,08:51:00,08:51:00,9205,6,,0,0,,1
N40,08:53:00,08:53:00,9022,7,,0,0,,1
N40,08:54:00,08:54:00,9039,8,,0,0,,1
N40,08:55:00,08:55:00,9197,9,,0,0,,1
N40,08:56:00,08:56:00,9818,10,,0,0,,1
N40,08:58:00,08:58:00,9062,11,,0,0,,1
N40,09:00:00,09:00:00,9127,12,,0,0,,1
N40,09:02:00,09:02:00,9075,13,,0,0,,1
N40,09:04:00,09:04:00,9003,14,,0,0,,1
N40,09:06:00,09:06:00,9063,15,,1,0,,1
N556,08:40:00,08:40:00,9105,1,,0,1,,1
N556,08:42:00,08:42:00,9814,2,,0,0,,1
N556,08:45:00,08:45:00,9815,3,,0,0,,1
