service_id,date,exception_type
L323,20230518,1
L323,20231101,1
L323,20231111,1
L323,20230417,2
L323,20230424,2
L323,20230501,2
L323,20230515,2
L323,20230522,2
L323,20230605,2
L323,20230612,2
L323,20230619,2
L323,20230626,2
L323,20230703,2
L323,20230710,2
L323,20230717,2
L323,20230724,2
L323,20230731,2
L323,20230807,2
L323,20230814,2
L323,20230821,2
L323,20230828,2
L323,20230904,2
L323,20230911,2
L323,20230918,2
L323,20230925,2
L323,20231002,2
L323,20231009,2
L323,20231016,2
L323,20231023,2
L323,20231030,2
L323,20231106,2
L323,20231113,2
L323,20231120,2
L323,20231127,2
L323,20231204,2
L323,20231211,2
L323,20231218,2
L325,20230412,2
L325,20230419,2
L325,20230705,2
L325,20230712,2
L325,20230719,2
L325,20230726,2
L325,20230802,2
L325,20230809,2
L325,20230816,2
L325,20230823,2
L325,20231025,2
L325,20231101,2
L326,20230410,2
L326,20230411,2
L326,20230413,2
L326,20230414,2
L326,20230417,2
L326,20230418,2
L326,20230420,2
L326,20230421,2
L326,20230508,2
L326,20230518,2
L326,20230529,2
L326,20230703,2
L326,20230704,2
L326,20230706,2
L326,20230707,2
L326,20230710,2
L326,20230711,2
L326,20230713,2
L326,20230714,2
L326,20230717,2
L326,20230718,2
L326,20230720,2
L326,20230721,2
L326,20230724,2
L326,20230725,2
L326,20230727,2
L326,20230728,2
L326,20230731,2
L326,20230801,2
L326,20230803,2
L326,20230804,2
L326,20230807,2
L326,20230808,2
L326,20230810,2
L326,20230811,2
L326,20230814,2
L326,20230815,2
L326,20230817,2
L326,20230818,2
L326,20230821,2
L326,20230822,2
L326,20230824,2
L326,20230825,2
L326,20231023,2
L326,20231024,2
L326,20231026,2
L326,20231027,2
L326,20231030,2
L326,20231031,2
L326,20231102,2
L326,20231103,2
L327,20230410,2
L327,20230411,2
L327,20230412,2
L327,20230413,2
L327,20230414,2
L327,20230417,2
L327,20230418,2
L327,20230419,2
L327,20230420,2
L327,20230421,2
L327,20230508,2
L327,20230518,2
L327,20230529,2
L327,20230703,2
L327,20230704,2
L327,20230705,2
L327,20230706,2
L327,20230707,2
L327,20230710,2
L327,20230711,2
L327,20230712,2
L327,20230713,2
L327,20230714,2
L327,20230717,2
L327,20230718,2
L327,20230719,2
L327,20230720,2
L327,20230721,2
L327,20230724,2
L327,20230725,2
L327,20230726,2
L327,20230727,2
L327,20230728,2
L327,20230731,2
L327,20230801,2
L327,20230802,2
L327,20230803,2
L327,20230804,2
L327,20230807,2
L327,20230808,2
L327,20230809,2
L327,20230810,2
L327,20230811,2
L327,20230814,2
L327,20230815,2
L327,20230816,2
L327,20230817,2
L327,20230818,2
L327,20230821,2
L327,20230822,2
L327,20230823,2
L327,20230824,2
L327,20230825,2
L327,20231023,2
L327,20231024,2
L327,20231025,2
L327,20231026,2
