trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
L3334,05:59:00,05:59:00,184:0,1,,0,1,,1
L3334,06:04:00,06:04:00,189,2,,0,0,,1
L3334,06:07:00,06:07:00,181,3,,0,0,,1
L3334,06:08:00,06:08:00,9300,4,,0,0,,1
L3334,06:10:00,06:10:00,305,5,,0,0,,1
L3334,06:13:00,06:13:00,230,6,,0,0,,1
L3334,06:16:00,06:16:00,1054,7,,0,0,,1
L3334,06:22:00,06:22:00,232,8,,0,0,,1
L3334,06:24:00,06:24:00,241,9,,0,0,,1
L3334,06:26:00,06:26:00,310,10,,0,0,,1
L3334,06:28:00,06:28:00,311,11,,0,0,,1
L3334,06:35:00,06:35:00,212,12,,0,0,,1
L3334,06:38:00,06:38:00,214,13,,0,0,,1
L3334,06:41:00,06:41:00,218,14,,0,0,,1
L3334,06:41:00,06:41:00,9643,15,,0,0,,1
L3334,06:43:00,06:43:00,210,16,,0,0,,1
L3334,06:46:00,06:46:00,206,17,,0,0,,1
L3334,06:48:00,06:48:00,9259,18,,0,0,,1
L3334,06:49:00,06:49:00,9297,19,,0,0,,1
L3334,06:53:00,06:53:00,167:0,20,,0,0,,1
L3334,06:54:00,06:54:00,169,21,,0,0,,1
L3334,06:55:00,06:55:00,103,22,,0,0,,1
L3334,06:56:00,06:56:00,151:0,23,,0,0,,1
L3334,06:57:00,06:57:00,9262,24,,0,0,,1
L3334,06:58:00,06:58:00,146,25,,0,0,,1
L3334,07:00:00,07:00:00,148,26,,0,0,,1
L3334,07:00:00,07:00:00,9264,27,,0,0,,1
L3334,07:01:00,07:01:00,9266,28,,0,0,,1
L3334,07:02:00,07:02:00,153,29,,0,0,,1
L3334,07:03:00,07:03:00,9268,30,,0,0,,1
L3334,07:04:00,07:04:00,9270,31,,0,0,,1
L3334,07:04:00,07:04:00,9272,32,,0,0,,1
L3334,07:08:00,07:08:00,140,33,,0,0,,1
L3334,07:12:00,07:12:00,137,34,,0,0,,1
L3334,07:18:00,07:18:00,111,35,,0,0,,1
L3334,07:20:00,07:20:00,120:0,36,,0,0,,1
L3334,07:22:00,07:22:00,9274,37,,0,0,,1
L3334,07:25:00,07:25:00,129,38,,0,0,,1
L3334,07:29:00,07:29:00,1262,39,,1,0,,1
L3466,05:59:00,05:59:00,184:0,1,,0,1,,1
L3466,06:04:00,06:04:00,189,2,,0,0,,1
L3466,06:07:00,06:07:00,181,3,,0,0,,1
L3466,06:08:00,06:08:00,9300,4,,0,0,,1
L3466,06:10:00,06:10:00,305,5,,0,0,,1
L3466,06:13:00,06:13:00,230,6,,0,0,,1
L3466,06:16:00,06:16:00,1054,7,,0,0,,1
L3466,06:22:00,06:22:00,232,8,,0,0,,1
L3466,06:24:00,06:24:00,241,9,,0,0,,1
L3466,06:26:00,06:26:00,310,10,,0,0,,1
L3466,06:28:00,06:28:00,311,11,,0,0,,1
L3466,06:35:00,06:35:00,212,12,,0,0,,1
L3466,06:38:00,06:38:00,214,13,,0,0,,1
L3466,06:41:00,06:41:00,218,14,,0,0,,1
L3466,06:41:00,06:41:00,9643,15,,0,0,,1
L3466,06:43:00,06:43:00,210,16,,0,0,,1
L3466,06:46:00,06:46:00,206,17,,0,0,,1
L3466,06:48:00,06:48:00,9259,18,,0,0,,1
L3466,06:49:00,06:49:00,9297,19,,0,0,,1
L3466,06:53:00,06:53:00,167:0,20,,0,0,,1
L3466,06:54:00,06:54:00,169,21,,0,0,,1
L3466,06:55:00,06:55:00,103,22,,0,0,,1
L3466,06:56:00,06:56:00,151:0,23,,0,0,,1
L3466,06:57:00,06:57:00,9262,24,,0,0,,1
L3466,06:58:00,06:58:00,146,25,,0,0,,1
L3466,07:00:00,07:00:00,148,26,,0,0,,1
L3466,07:00:00,07:00:00,9264,27,,0,0,,1
L3466,07:01:00,07:01:00,9266,28,,0,0,,1
L3466,07:02:00,07:02:00,153,29,,0,0,,1
L3466,07:03:00,07:03:00,9268,30,,0,0,,1
L3466,07:04:00,07:04:00,9270,31,,0,0,,1
L3466,07:04:00,07:04:00,9272,32,,0,0,,1
L3466,07:08:00,07:08:00,140,33,,0,0,,1
L3466,07:12:00,07:12:00,137,34,,0,0,,1
L3466,07:18:00,07:18:00,111,35,,0,0,,1
L3466,07:20:00,07:20:00,120:0,36,,0,0,,1
L3466,07:22:00,07:22:00,9274,37,,0,0,,1
L3466,07:25:00,07:25:00,129,38,,0,0,,1
L3466,07:29:00,07:29:00,1262,39,,1,0,,1
L3335,06:04:00,06:04:00,184:0,1,,0,1,,1
L3335,06:08:00,06:08:00,189,2,,0,0,,1
L3335,06:11:00,06:11:00,181,3,,0,0,,1
L3335,06:12:00,06:12:00,9300,4,,0,0,,1
L3335,06:14:00,06:14:00,305,5,,0,0,,1
L3335,06:16:00,06:16:00,230,6,,0,0,,1
L3335,06:19:00,06:19:00,1054,7,,0,0,,1
L3335,06:24:00,06:24:00,232,8,,0,0,,1
L3335,06:26:00,06:26:00,241,9,,0,0,,1
L3335,06:27:00,06:27:00,310,10,,0,0,,1
L3335,06:29:00,06:29:00,311,11,,0,0,,1
L3335,06:35:00,06:35:00,212,12,,0,0,,1
L3335,06:38:00,06:38:00,214,13,,0,0,,1
L3335,06:40:00,06:40:00,218,14,,0,0,,1
L3335,06:40:00,06:40:00,9643,15,,0,0,,1
L3335,06:42:00,06:42:00,210,16,,0,0,,1
L3335,06:45:00,06:45:00,206,17,,0,0,,1
L3335,06:47:00,06:47:00,9259,18,,0,0,,1
L3335,06:48:00,06:48:00,9297,19,,0,0,,1
L3335,06:51:00,06:51:00,167:0,20,,0,0,,1
L3335,06:52:00,06:52:00,169,21,,0,0,,1
L3335,06:53:00,06:53:00,103,22,,0,0,,1
L3335,06:54:00,06:54:00,151:0,23,,0,0,,1
L3335,06:55:00,06:55:00,9262,24,,0,0,,1
L3335,06:56:00,06:56:00,146,25,,0,0,,1
L3335,06:58:00,06:58:00,148,26,,0,0,,1
L3335,06:58:00,06:58:00,9264,27,,0,0,,1
L3335,06:59:00,06:59:00,9266,28,,0,0,,1
L3335,07:00:00,07:00:00,153,29,,0,0,,1
L3335,07:01:00,07:01:00,9268,30,,0,0,,1
L3335,07:02:00,07:02:00,9270,31,,0,0,,1
L3335,07:02:00,07:02:00,9272,32,,0,0,,1
L3335,07:06:00,07:06:00,140,33,,0,0,,1
L3335,07:10:00,07:10:00,137,34,,0,0,,1
L3335,07:15:00,07:15:00,111,35,,0,0,,1
L3335,07:17:00,07:17:00,120:0,36,,0,0,,1
L3335,07:19:00,07:19:00,9274,37,,0,0,,1
L3335,07:21:00,07:21:00,129,38,,0,0,,1
L3335,07:25:00,07:25:00,1262,39,,1,0,,1
L3467,06:04:00,06:04:00,184:0,1,,0,1,,1
L3467,06:08:00,06:08:00,189,2,,0,0,,1
L3467,06:11:00,06:11:00,181,3,,0,0,,1
L3467,06:12:00,06:12:00,9300,4,,0,0,,1
L3467,06:14:00,06:14:00,305,5,,0,0,,1
L3467,06:16:00,06:16:00,230,6,,0,0,,1
L3467,06:19:00,06:19:00,1054,7,,0,0,,1
L3467,06:24:00,06:24:00,232,8,,0,0,,1
L3467,06:26:00,06:26:00,241,9,,0,0,,1
L3467,06:27:00,06:27:00,310,10,,0,0,,1
L3467,06:29:00,06:29:00,311,11,,0,0,,1
L3467,06:35:00,06:35:00,212,12,,0,0,,1
L3467,06:38:00,06:38:00,214,13,,0,0,,1
L3467,06:40:00,06:40:00,218,14,,0,0,,1
L3467,06:40:00,06:40:00,9643,15,,0,0,,1
L3467,06:42:00,06:42:00,210,16,,0,0,,1
L3467,06:45:00,06:45:00,206,17,,0,0,,1
L3467,06:47:00,06:47:00,9259,18,,0,0,,1
L3467,06:48:00,06:48:00,9297,19,,0,0,,1
L3467,06:51:00,06:51:00,167:0,20,,0,0,,1
L3467,06:52:00,06:52:00,169,21,,0,0,,1
L3467,06:53:00,06:53:00,103,22,,0,0,,1
L3467,06:54:00,06:54:00,151:0,23,,0,0,,1
L3467,06:55:00,06:55:00,9262,24,,0,0,,1
L3467,06:56:00,06:56:00,146,25,,0,0,,1
L3467,06:58:00,06:58:00,148,26,,0,0,,1
L3467,06:58:00,06:58:00,9264,27,,0,0,,1
L3467,06:59:00,06:59:00,9266,28,,0,0,,1
L3467,07:00:00,07:00:00,153,29,,0,0,,1
L3467,07:01:00,07:01:00,9268,30,,0,0,,1
L3467,07:02:00,07:02:00,9270,31,,0,0,,1
L3467,07:02:00,07:02:00,9272,32,,0,0,,1
L3467,07:06:00,07:06:00,140,33,,0,0,,1
L3467,07:10:00,07:10:00,137,34,,0,0,,1
L3467,07:15:00,07:15:00,111,35,,0,0,,1
L3467,07:17:00,07:17:00,120:0,36,,0,0,,1
L3467,07:19:00,07:19:00,9274,37,,0,0,,1
L3467,07:21:00,07:21:00,129,38,,0,0,,1
L3467,07:25:00,07:25:00,1262,39,,1,0,,1
L3336,06:15:00,06:15:00,212,1,,0,1,,1
L3336,06:18:00,06:18:00,214,2,,0,0,,1
L3336,06:20:00,06:20:00,218,3,,0,0,,1
L3336,06:20:00,06:20:00,9643,4,,0,0,,1
L3336,06:22:00,06:22:00,210,5,,0,0,,1
L3336,06:25:00,06:25:00,206,6,,0,0,,1
L3336,06:27:00,06:27:00,9259,7,,0,0,,1
L3336,06:28:00,06:28:00,9297,8,,0,0,,1
L3336,06:31:00,06:31:00,167:0,9,,0,0,,1
L3336,06:32:00,06:32:00,169,10,,0,0,,1
L3336,06:33:00,06:33:00,103,11,,0,0,,1
L3336,06:34:00,06:34:00,151:0,12,,0,0,,1
L3336,06:35:00,06:35:00,9262,13,,0,0,,1
L3336,06:36:00,06:36:00,146,14,,0,0,,1
L3336,06:38:00,06:38:00,148,15,,0,0,,1
L3336,06:38:00,06:38:00,9264,16,,0,0,,1
L3336,06:39:00,06:39:00,9266,17,,0,0,,1
L3336,06:40:00,06:40:00,153,18,,0,0,,1
L3336,06:41:00,06:41:00,9268,19,,0,0,,1
L3336,06:42:00,06:42:00,9270,20,,0,0,,1
L3336,06:42:00,06:42:00,9272,21,,0,0,,1
L3336,06:46:00,06:46:00,140,22,,0,0,,1
L3336,06:49:00,06:49:00,137,23,,0,0,,1
L3336,06:54:00,06:54:00,111,24,,0,0,,1
L3336,06:56:00,06:56:00,120:0,25,,0,0,,1
L3336,06:58:00,06:58:00,9274,26,,0,0,,1
L3336,07:01:00,07:01:00,129,27,,0,0,,1
L3336,07:05:00,07:05:00,1262,28,,1,0,,1
L3468,06:15:00,06:15:00,212,1,,0,1,,1
L3468,06:18:00,06:18:00,214,2,,0,0,,1
L3468,06:20:00,06:20:00,218,3,,0,0,,1
L3468,06:20:00,06:20:00,9643,4,,0,0,,1
L3468,06:22:00,06:22:00,210,5,,0,0,,1
L3468,06:25:00,06:25:00,206,6,,0,0,,1
L3468,06:27:00,06:27:00,9259,7,,0,0,,1
L3468,06:28:00,06:28:00,9297,8,,0,0,,1
L3468,06:31:00,06:31:00,167:0,9,,0,0,,1
L3468,06:32:00,06:32:00,169,10,,0,0,,1
L3468,06:33:00,06:33:00,103,11,,0,0,,1
L3468,06:34:00,06:34:00,151:0,12,,0,0,,1
L3468,06:35:00,06:35:00,9262,13,,0,0,,1
L3468,06:36:00,06:36:00,146,14,,0,0,,1
L3468,06:38:00,06:38:00,148,15,,0,0,,1
L3468,06:38:00,06:38:00,9264,16,,0,0,,1
L3468,06:39:00,06:39:00,9266,17,,0,0,,1
L3468,06:40:00,06:40:00,153,18,,0,0,,1
L3468,06:41:00,06:41:00,9268,19,,0,0,,1
L3468,06:42:00,06:42:00,9270,20,,0,0,,1
L3468,06:42:00,06:42:00,9272,21,,0,0,,1
L3468,06:46:00,06:46:00,140,22,,0,0,,1
L3468,06:49:00,06:49:00,137,23,,0,0,,1
