stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,city_name,ext_siri2_id
145,HECHA2,Abadia,Direction ~ Norabidea: Plaza San Juan / Grande Plage / Water Sport Center,43.37437500,-1.75205000,,,0,,0,,,
64,HECHA1,Abadia,Direction ~ Norabidea: EHPAD / Autoport / Halte Routière,43.37465300,-1.75187700,,,0,,0,,,
137,AERO01,Aéroport de Biarritz,Direction ~ Norabidea: Bayonne Place des Basques / Hendaye Grande Plage / St Jean de Luz Halte Routière,43.47217804,-1.53280760,,,0,,0,,,137
433,HEAGE1,Agerrea,Direction ~ Norabidea: Autoport,43.37202300,-1.74678800,,,0,,0,,,
434,HEAGE2,Agerrea,Direction ~ Norabidea: Grande Plage,43.37230300,-1.74760800,,,0,,0,,,
1195,BUAGU2,Agerreberri,Direction ~ Norabidea: Biriatou Bourg,43.34260980,-1.73936390,,,0,,0,,,
1482,BUAGU1,Agerreberri,Direction ~ Norabidea: Vieux Fort,43.34260980,-1.73936390,,,0,,0,,,
579,AHCRO1,Ahetze Croisement ~ Ahetze Bidegurutzea,Direction ~ Norabidea: Biarritz Gare,43.41754000,-1.54892000,,,0,,0,,,
580,AHCRO2,Ahetze Croisement ~ Ahetze Bidegurutzea,Direction ~ Norabidea: Ahetze / Halte Routière,43.41821450,-1.54870070,,,0,,0,,,
1403,HEAIZ2,Aizpurdi St Vincent ~ Aizpurdi San Bixente,Direction ~ Norabidea: Grande Plage,43.35622300,-1.77440000,,,0,,0,,,
152,HEAIZ1,Aizpurdi St Vincent ~ Aizpurdi San Bixente,Direction ~ Norabidea: Autoport / Béhobia,43.35622300,-1.77440000,,,0,,0,,,
161,SJAIC2,Aïce Errota _ Haize Errota,Direction ~ Norabidea: Urrugne - Bourg,43.39443960,-1.65287490,,,0,,0,,,
1437,SJACO2,Akotz,Direction ~ Norabidea: Lafiténia,43.41271930,-1.61783100,,,0,,0,,,
7,SJACO1,Akotz,Direction ~ Norabidea: Zaldi Xurito,43.41271930,-1.61783100,,,0,,0,,,
9297,SJACO3,Akotz,Direction ~ Norabidea: Bayonne Place des Basques / Hendaye Grande Plage / St Jean de Luz Halte Routière,43.41264820,-1.61709900,,,0,,0,,,9297
1514,HAALD2,Aldabidea,Direction ~ Norabidea: Hasparren,43.39506000,-1.30960000,,,0,,0,,,
1352,SOAL01,Alegera,Direction ~ Norabidea: Halte Routière,43.33989000,-1.47039900,,,0,,0,,,
8,SJALT3,Alturan,Direction ~ Norabidea: Urrugne - Bourg,43.38904000,-1.62044000,,,0,,0,,,
1310,SJALB1,Alturan Bi,Direction ~ Norabidea: Urrugne - Bourg,43.38854700,-1.62397200,,,0,,0,,,
1582,SJALB2,Alturan Bi,Direction ~ Norabidea: Alturan,43.38814000,-1.62377000,,,0,,0,,,
1507,SOUAM1,Amespetou,Direction ~ Norabidea: Halte Routière,43.33596000,-1.50753200,,,0,,0,,,
1508,SOUAM2,Amespetou,Direction ~ Norabidea: Cambo les Bains Gare,43.33596000,-1.50753200,,,0,,0,,,
389,SJAND2,Andenea,Direction ~ Norabidea: Urrugne - Bourg,43.38988480,-1.64775280,,,0,,0,,,
1324,ARARA0,Arantzola,Direction ~ Norabidea: Ahetze / Halte Routière,43.42286600,-1.54835400,,,0,,0,,,
122,SPIN01,Artzirin,Direction ~ Norabidea: Halte Routière / St Pée - Pont d'Amotz / Dantxaria,43.35621425,-1.56113842,,,0,,0,,,
1373,SPIN02,Artzirin,Direction ~ Norabidea: Halte Routière,43.35629281,-1.56123868,,,0,,0,,,
1284,HEASC1,Ascoubia,Direction ~ Norabidea: Halte Routière,43.37736000,-1.74391000,,,0,,0,,,
1418,HEASC2,Ascoubia,Direction ~ Norabidea: Water Sport Center,43.37736000,-1.74391000,,,0,,0,,,
1282,HEASP1,Asporotsttipi,Direction ~ Norabidea: Halte Routière,43.37694030,-1.73925160,,,0,,0,,,
1419,HEASP2,Asporotsttipi,Direction ~ Norabidea: Water Sport Center,43.37694030,-1.73925160,,,0,,0,,,
1395,HEATA2,Atabala,Direction ~ Norabidea: Grande Plage,43.36434000,-1.76531000,,,0,,0,,,
65,HEATA1,Atabala,Direction ~ Norabidea: Béhobia,43.36434000,-1.76531000,,,0,,0,,,
436,HEAUT2,Autoport ~ Autoportua,Direction ~ Norabidea: Grande Plage,43.34715242,-1.77041628,,,0,,0,,,
66,HEAUT1,Autoport ~ Autoportua,Direction ~ Norabidea: Béhobia,43.34654700,-1.77071000,,,0,,0,,,
1428,CIAVB2,Avenue de la Baie ~ Badiako Etorbidea,Direction ~ Norabidea: Water Sport Center,43.38546300,-1.67828700,,,0,,0,,,
407,CIAVB1,Avenue de la Baie ~ Badiako Etorbidea,Direction ~ Norabidea: Halte Routière,43.38546300,-1.67828700,,,0,,0,,,
1383,CANA01,Avenue de Navarre,Direction ~ Norabidea: Halte Routière,43.35877000,-1.39872600,,,0,,0,,,
1384,CANA02,Avenue de Navarre,Direction ~ Norabidea: Cambo les Bains Gare,43.35877000,-1.39872600,,,0,,0,,,
1453,SJAXU2,Axular,Direction ~ Norabidea: Lafiténia,43.38615500,-1.65563300,,,0,,0,,,
458,SJAXU1,Axular,Direction ~ Norabidea: Zaldi Xurito,43.38615500,-1.65563300,,,0,,0,,,
829,BUGAR3,Azkenean,Direction ~ Norabidea: Vieux Fort / Biriatou Bourg,43.34264366,-1.74563596,,,0,,0,,,
9272,BARB11,Barbarenia,Direction ~ Norabidea: Bayonne Place des Basques,43.45002275,-1.55984558,,,0,,0,,,9272
9273,BARB12,Barbarenia,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.45006095,-1.55985337,,,0,,0,,,9273
1401,HEBAR2,Barrendegi,Direction ~ Norabidea: Grande Plage,43.35622700,-1.76931700,,,0,,0,,,
437,HEBAR1,Barrendegi,Direction ~ Norabidea: Autoport / Béhobia,43.35622700,-1.76931700,,,0,,0,,,
1402,HEBAS2,Bas Quartier ~ Partxetegia,Direction ~ Norabidea: Grande Plage,43.35896800,-1.77165800,,,0,,0,,,
68,HEBAS1,Bas Quartier ~ Partxetegia,Direction ~ Norabidea: Autoport / Béhobia,43.35896800,-1.77165800,,,0,,0,,,
199,IRBEH3,Behobia,Direction ~ Norabidea: Grande Plage,43.34297000,-1.75967500,,,0,,0,,,
568,HEBEL1,Belcenia ~ Beltzenea,Direction ~ Norabidea: EHPAD,43.36199120,-1.77208780,,,0,,0,,,
569,HEBEL2,Belcenia ~ Beltzenea,Direction ~ Norabidea: Grande Plage / Plaza San Juan,43.36159770,-1.77243070,,,0,,0,,,
1438,SJBEL2,Belharra,Direction ~ Norabidea: Lafiténia,43.41220590,-1.61423340,,,0,,0,,,
9,SJBEL1,Belharra,Direction ~ Norabidea: Zaldi Xurito,43.41220590,-1.61423340,,,0,,0,,,
9259,SJBEL1,Belharra,Direction ~ Norabidea: Bayonne Place des Basques,43.41151400,-1.61494500,,,0,,0,,,9259
9260,SJBEL2,Belharra,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.41151400,-1.61494500,,,0,,0,,,9260
408,CIBER1,Berastegia,Direction ~ Norabidea: Halte Routière,43.37984000,-1.67443200,,,0,,0,,,
409,CIBER2,Berastegia,Direction ~ Norabidea: Water Sport Center,43.37989000,-1.67470300,,,0,,0,,,
111,BRNM02,Bernain-Montòri,Direction ~ Norabidea: Bayonne Place des Basques,43.48149704,-1.50997692,,,0,,0,,,111
112,BRNM01,Bernain-Montòri,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.48159688,-1.51003851,,,0,,0,,,112
529,URBER0,Berroeta,Direction ~ Norabidea: Alturan,43.34803500,-1.68979800,,,0,,0,,,
230,URBEH1,Béhobie,Direction ~ Norabidea: Bayonne Place des Basques,43.34597000,-1.76391500,,,0,,0,,,230
231,URBEH2,Béhobie,Direction ~ Norabidea: Hendaye Grande Plage,43.34605917,-1.76400894,,,0,,0,,,231
1409,URBEH2,Béhobie ~ Pausu,Direction ~ Norabidea: Grande Plage,43.34594300,-1.76358200,,,0,,0,,,
69,URBEH1,Béhobie ~ Pausu,Direction ~ Norabidea: Béhobia,43.34594300,-1.76358200,,,0,,0,,,
1455,CIBIB2,Bibliothèque ~ Liburutegia,Direction ~ Norabidea: Lafiténia / Alturan,43.38154500,-1.66474500,,,0,,0,,,
410,CIBIB1,Bibliothèque ~ Liburutegia,Direction ~ Norabidea: Zaldi Xurito / Urrugne - Bourg,43.38154500,-1.66474500,,,0,,0,,,
9264,BIDE02,Bide Artean,Direction ~ Norabidea: Bayonne Place des Basques,43.44554284,-1.58325193,,,0,,0,,,9264
9265,BIDE01,Bide Artean,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.44573306,-1.58319180,,,0,,0,,,9265
1510,SPBIL1,Bilanoa,Direction ~ Norabidea: Halte Routière / St Pée - Pont d'Amotz / Dantxaria,43.35626400,-1.56557700,,,0,,0,,,
1511,SPBIL2,Bilanoa,Direction ~ Norabidea: Halte Routière,43.35626400,-1.56557700,,,0,,0,,,
411,CIBOR1,Bordagain,Direction ~ Norabidea: Halte Routière,43.38316700,-1.67617500,,,0,,0,,,
412,CIBOR2,Bordagain,Direction ~ Norabidea: Water Sport Center,43.38270160,-1.67577140,,,0,,0,,,
1349,SOBO01,Bourg,Direction ~ Norabidea: Halte Routière,43.34087100,-1.47421100,,,0,,0,,,
1350,SOBO02,Bourg,Direction ~ Norabidea: Cambo les Bains Gare,43.34087100,-1.47421100,,,0,,0,,,
72,BUBRG3,Bourg ~ Herri Barnea (Biriatou),Direction ~ Norabidea: Vieux Fort,43.33355700,-1.74406800,,,0,,0,,Biriatou,
517,URBOU3,Bourg ~ Herri Barnea (Urrugne),Direction ~ Norabidea: Alturan,43.36242700,-1.69893800,,,0,,0,,Urrugne,
1344,ASBUD,Burdin Bidea,Direction ~ Norabidea: Halte Routière,43.34681000,-1.62371000,,,0,,0,,,
1478,URCA02,Camieta ~ Kamieta,Direction ~ Norabidea: Alturan,43.37474000,-1.67387000,,,0,,0,,,
597,URCA01,Camieta ~ Kamieta,Direction ~ Norabidea: Urrugne - Bourg,43.37474000,-1.67387000,,,0,,0,,,
1361,CABI01,Camping Bistaeder,Direction ~ Norabidea: Halte Routière,43.35563700,-1.41453100,,,0,,0,,,
1362,CABI02,Camping Bistaeder,Direction ~ Norabidea: Cambo les Bains Gare,43.35563700,-1.41453100,,,0,,0,,,
1435,SJDUM2,Camping Duna Munguy,Direction ~ Norabidea: Lafiténia,43.41835300,-1.62096300,,,0,,0,,,
469,SJDUM1,Camping Duna Munguy,Direction ~ Norabidea: Zaldi Xurito,43.41835300,-1.62096300,,,0,,0,,,
1316,CIJUA1,Camping Juantcho,Direction ~ Norabidea: Halte Routière,43.39357170,-1.69334490,,,0,,0,,,
1421,CIJUA2,Camping Juantcho,Direction ~ Norabidea: Water Sport Center,43.39320750,-1.69437560,,,0,,0,,,
9262,CRRI02,Carricartenea,Direction ~ Norabidea: Bayonne Place des Basques,43.43578000,-1.59332190,,,0,,0,,,9262
9263,CRRI01,Carricartenea,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.43559536,-1.59358533,,,0,,0,,,9263
1346,SOAM01,Carrière,Direction ~ Norabidea: Halte Routière,43.33303408,-1.48954782,,,0,,0,,,
1347,SOAM02,Carrière,Direction ~ Norabidea: Cambo les Bains Gare,43.33303408,-1.48954782,,,0,,0,,,
183,HECAS1,Casa Esperenza,Direction ~ Norabidea: Plaza San Juan / EHPAD / Autoport,43.35562800,-1.77784700,,,0,,0,,,
9278,CASS01,Cassin,Direction ~ Norabidea: Bayonne Place des Basques,43.48095000,-1.48079800,,,0,,0,,,9278
9284,CASS02,Cassin,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.48123236,-1.48031123,,,0,,0,,,9284
206,SJCCI1,Centre commercial,Direction ~ Norabidea: Bayonne Place des Basques,43.40529200,-1.62566200,,,0,,0,,,206
207,SJCCI2,Centre commercial,Direction ~ Norabidea: Hendaye Grande Plage / St Jean de Luz Halte Routière,43.40529200,-1.62566200,,,0,,0,,,207
305,HECCI2,Centre Commercial,Direction ~ Norabidea: Bayonne Place des Basques,43.34940700,-1.77137670,,,0,,0,,,305
313,HECCI1,Centre Commercial,Direction ~ Norabidea: Hendaye Grande Plage,43.34959149,-1.77155423,,,0,,0,,,313
1405,HECCI2,Centre Commercial ~ Merkataritza Gunea (Hendaye),Direction ~ Norabidea: Autoport / Béhobia,43.34941820,-1.77138900,,,0,,0,,Hendaye,
73,HECCI1,Centre Commercial ~ Merkataritza Gunea (Hendaye),Direction ~ Norabidea: Grande Plage,43.34966630,-1.77160670,,,0,,0,,Hendaye,
1440,SJCCI2,Centre Commercial ~ Merkataritza Gunea (Saint-Jean-de-Luz),Direction ~ Norabidea: Lafiténia,43.40529200,-1.62566200,,,0,,0,,Saint-Jean-de-Luz,
461,SJCCI1,Centre Commercial ~ Merkataritza Gunea (Saint-Jean-de-Luz),Direction ~ Norabidea: Zaldi Xurito,43.40529200,-1.62566200,,,0,,0,,Saint-Jean-de-Luz,
184,URCCI3,Centre Commercial ~ Merkataritza Gunea (Urrugne),Direction ~ Norabidea: Urrugne - Bourg / Alturan,43.37478110,-1.67763050,,,0,,0,,Urrugne,
