service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
AVR2023-100-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-100-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-100-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-102-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-102-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-102-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-104-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-104-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-104-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-106-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-106-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-106-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-108-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-108-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-108-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-110-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-110-Semaine-01-0000100,0,0,0,0,1,0,0,20230428,20230707,2023-04-28 → 07-07 (11 ven)
AVR2023-110-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-110-Semaine-01-1101000,1,1,0,1,0,0,0,20230424,20230706,"2023-04-24 → 07-06 (8 lun, 11 mar, 10 jeu)"
AVR2023-112-Dimanche-01,0,0,0,0,0,0,1,20230423,20230702,"2023-04-16 → 07-02 (2 lun, jeu, 12 dim)"
AVR2023-114-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-114-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-114-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-116-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-116-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-116-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-118-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-118-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-118-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-120-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-120-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-120-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-122-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-122-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-122-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-124-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
AVR2023-124-Semaine-01-0010000,0,0,1,0,0,0,0,20230426,20230705,2023-04-26 → 07-05 (11 mer)
AVR2023-124-Semaine-01-1101100,1,1,0,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 10 jeu, 11 ven)"
AVR2023-126-Semaine-01,1,1,1,1,1,0,0,20230424,20230707,"2023-04-24 → 07-07 (8 lun, 11 mar, 11 mer, 10 jeu, 11 ven)"
