service_id,date,exception_type
AVR2023-100-Semaine-01,20230501,2
AVR2023-100-Semaine-01,20230508,2
AVR2023-100-Semaine-01,20230518,2
AVR2023-100-Semaine-01,20230529,2
AVR2023-100-Semaine-01-1101100,20230501,2
AVR2023-100-Semaine-01-1101100,20230508,2
AVR2023-100-Semaine-01-1101100,20230518,2
AVR2023-100-Semaine-01-1101100,20230529,2
AVR2023-102-Semaine-01,20230501,2
AVR2023-102-Semaine-01,20230508,2
AVR2023-102-Semaine-01,20230518,2
AVR2023-102-Semaine-01,20230529,2
AVR2023-102-Semaine-01-1101100,20230501,2
AVR2023-102-Semaine-01-1101100,20230508,2
AVR2023-102-Semaine-01-1101100,20230518,2
AVR2023-102-Semaine-01-1101100,20230529,2
AVR2023-104-Semaine-01,20230501,2
AVR2023-104-Semaine-01,20230508,2
AVR2023-104-Semaine-01,20230518,2
AVR2023-104-Semaine-01,20230529,2
AVR2023-104-Semaine-01-1101100,20230501,2
AVR2023-104-Semaine-01-1101100,20230508,2
AVR2023-104-Semaine-01-1101100,20230518,2
AVR2023-104-Semaine-01-1101100,20230529,2
AVR2023-106-Semaine-01,20230501,2
AVR2023-106-Semaine-01,20230508,2
AVR2023-106-Semaine-01,20230518,2
AVR2023-106-Semaine-01,20230529,2
AVR2023-106-Semaine-01-1101100,20230501,2
AVR2023-106-Semaine-01-1101100,20230508,2
AVR2023-106-Semaine-01-1101100,20230518,2
AVR2023-106-Semaine-01-1101100,20230529,2
AVR2023-108-Semaine-01,20230501,2
AVR2023-108-Semaine-01,20230508,2
AVR2023-108-Semaine-01,20230518,2
AVR2023-108-Semaine-01,20230529,2
AVR2023-108-Semaine-01-1101100,20230501,2
AVR2023-108-Semaine-01-1101100,20230508,2
AVR2023-108-Semaine-01-1101100,20230518,2
AVR2023-108-Semaine-01-1101100,20230529,2
AVR2023-110-Semaine-01,20230501,2
AVR2023-110-Semaine-01,20230508,2
AVR2023-110-Semaine-01,20230518,2
AVR2023-110-Semaine-01,20230529,2
AVR2023-110-Semaine-01-1101000,20230501,2
AVR2023-110-Semaine-01-1101000,20230508,2
AVR2023-110-Semaine-01-1101000,20230518,2
AVR2023-110-Semaine-01-1101000,20230529,2
AVR2023-112-Dimanche-01,20230508,1
AVR2023-112-Dimanche-01,20230518,1
AVR2023-112-Dimanche-01,20230529,1
AVR2023-114-Semaine-01,20230501,2
AVR2023-114-Semaine-01,20230508,2
AVR2023-114-Semaine-01,20230518,2
AVR2023-114-Semaine-01,20230529,2
AVR2023-114-Semaine-01-1101100,20230501,2
AVR2023-114-Semaine-01-1101100,20230508,2
AVR2023-114-Semaine-01-1101100,20230518,2
AVR2023-114-Semaine-01-1101100,20230529,2
AVR2023-116-Semaine-01,20230501,2
AVR2023-116-Semaine-01,20230508,2
AVR2023-116-Semaine-01,20230518,2
AVR2023-116-Semaine-01,20230529,2
AVR2023-116-Semaine-01-1101100,20230501,2
AVR2023-116-Semaine-01-1101100,20230508,2
AVR2023-116-Semaine-01-1101100,20230518,2
AVR2023-116-Semaine-01-1101100,20230529,2
AVR2023-118-Semaine-01,20230501,2
