stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
place_NOVE,,11 Novembre,Tarnos - 11 Novembre,43.53877200,-1.45224400,,,1,,0,,,Tarnos,,,40312
place_AVRI,,14 Avril,Bayonne - 14 Avril,43.50246000,-1.46245750,,,1,,0,,,Bayonne,,,64102
place_JUIN,,18 Juin,Biarritz - 18 Juin,43.48576600,-1.54730200,,,1,,0,,,Biarritz,,,64122
place_PETC,,4 Vents,Boucau - 4 Vents,43.53206850,-1.47621250,,,1,,0,,,Boucau,,,64140
place_7PUI,,7 Puits,Anglet - 7 Puits,43.47176450,-1.52667200,,,1,,0,,,Anglet,,,64024
place_NOST,,A Noste,Boucau - A Noste,43.52799250,-1.47373750,,,1,,0,,,Boucau,,,64140
place_CRZA,,A. Croizat,Tarnos - A. Croizat,43.53520050,-1.49049000,,,1,,0,,,Tarnos,,,40312
place_ABB,,Abbé Cestac,Anglet - Abbé Cestac,43.50200050,-1.52387500,,,1,,0,,,Anglet,,,64024
place_ACAC,,Acacias,Anglet - Acacias,43.49788500,-1.50805450,,,1,,0,,,Anglet,,,64024
place_AGUE,,Aguerria,Mouguerre - Aguerria,43.46947600,-1.42576900,,,1,,0,,,Mouguerre,,,64407
place_AGUI,,Aguilera,Biarritz - Aguilera,43.48100800,-1.53559500,,,1,,0,,,Biarritz,,,64122
place_AILL,,Aillet,Biarritz - Aillet,43.48348000,-1.54657900,,,1,,0,,,Biarritz,,,64122
place_AJON,,Ajoncs,Anglet - Ajoncs,43.51106850,-1.51852200,,,1,,0,,,Anglet,,,64024
place_ALSC,,Alsace,Biarritz - Alsace,43.48855400,-1.55101200,,,1,,0,,,Biarritz,,,64122
place_ALSA,,Alsace Lorraine,Bayonne - Alsace Lorraine,43.49504400,-1.46931650,,,1,,0,,,Bayonne,,,64102
place_AMA-AMAD,,Amade,Bayonne - Amade,43.50593350,-1.47564750,,,1,,0,,,Bayonne,,,64102
place_AMLU,,Ametz Lura,Saint-Pierre-d'Irube - Ametz Lura,43.46161100,-1.43303700,,,1,,0,,,Saint-Pierre-d'Irube,,,64496
place_ADUF,,Amédée Dufourg,Anglet - Amédée Dufourg,43.48215500,-1.51496400,,,1,,0,,,Anglet,,,64024
place_ABBA,,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44769650,-1.55659350,,,1,,0,,,Bidart,,,64125
place_ARAG,,Aragon,Boucau - Aragon,43.53357000,-1.47760500,,,1,,0,,,Boucau,,,64140
place_ABOU,,Arcangues Bourg,Arcangues - Arcangues Bourg,43.43534250,-1.51913750,,,1,,0,,,Arcangues,,,64038
place_ARG,,Argote,Bayonne - Argote,43.49519800,-1.46420100,,,1,,0,,,Bayonne,,,64102
place_ARKI,,Arguizabal,Villefranque - Arguizabal,43.44237550,-1.45850600,,,1,,0,,,Villefranque,,,64558
place_ARIT,,Aritxague,Anglet - Aritxague,43.47385300,-1.49578850,,,1,,0,,,Anglet,,,64024
place_ARTO,,Armand Toulet,Anglet - Armand Toulet,43.48705150,-1.50092500,,,1,,0,,,Anglet,,,64024
place_AROT,,Arotzaenea,Saint-Pierre-d'Irube - Arotzaenea,43.46632550,-1.44433050,,,1,,0,,,Saint-Pierre-d'Irube,,,64496
place_ARRO,,Arrousets,Bayonne - Arrousets,43.49861600,-1.43652350,,,1,,0,,,Bayonne,,,64102
place_ARSE,,Arsenal,Bayonne - Arsenal,43.48827400,-1.47241650,,,1,,0,,,Bayonne,,,64102
place_ARTG,,Artigasses,Tarnos - Artigasses,43.54600900,-1.46739050,,,1,,0,,,Tarnos,,,40312
place_ARTE,,Artémis,Anglet - Artémis,43.47400350,-1.50015450,,,1,,0,,,Anglet,,,64024
place_AREN,,Arènes,Bayonne - Arènes,43.49348250,-1.48843550,,,1,,0,,,Bayonne,,,64102
place_ARPO,,Arènes-Los Pontòts,Bayonne - Arènes-Los Pontòts,43.49361600,-1.49249750,,,1,,0,,,Bayonne,,,64102
place_ATAB,,Atabal,Biarritz - Atabal,43.46021700,-1.53908100,,,1,,0,,,Biarritz,,,64122
place_ATHE,,Atherbea,Bidart - Atherbea,43.43752300,-1.58954800,,,1,,0,,,Bidart,,,64125
place_ATUR,,Aturri,Saint-Pierre-d'Irube - Aturri,43.47273100,-1.44248600,,,1,,0,,,Saint-Pierre-d'Irube,,,64496
place_AXRI,,Axeri-Mendi,Bassussarry - Axeri-Mendi,43.44133700,-1.50520150,,,1,,0,,,Bassussarry,,,64100
place_AYGA,,Aygas,Tarnos - Aygas,43.53987500,-1.47812250,,,1,,0,,,Tarnos,,,40312
place_AYGS,,Aygassot,Boucau - Aygassot,43.53874150,-1.48095450,,,1,,0,,,Boucau,,,64140
place_AERO,,Aéroport de Biarritz,Anglet - Aéroport de Biarritz,43.47206500,-1.53239500,,,1,,0,,,Anglet,,,64024
place_BAB1,,BAB 3000,Anglet - BAB 3000,43.49366100,-1.51842550,,,1,,0,,,Anglet,,,64024
place_BAB,,BAB2,Anglet - BAB2,43.49050400,-1.49860600,,,1,,0,,,Anglet,,,64024
place_BAGA,,Bagatelle,Saint-Martin-de-Seignanx - Bagatelle,43.52690300,-1.39352300,,,1,,0,,,Saint-Martin-de-Seignanx,,,40273
place_BAHI,,Bahinos,Anglet - Bahinos,43.49426700,-1.51864050,,,1,,0,,,Anglet,,,64024
place_BAL,,Bali,Tarnos - Bali,43.53560050,-1.45504650,,,1,,0,,,Tarnos,,,40312
place_BALI,,Balishon,Bayonne - Balishon,43.49615400,-1.48559800,,,1,,0,,,Bayonne,,,64102
place_BANI,,Banicq,Tarnos - Banicq,43.53099950,-1.44743850,,,1,,0,,,Tarnos,,,40312
place_BARJ,,Bar Jean,Boucau - Bar Jean,43.52780100,-1.49162550,,,1,,0,,,Boucau,,,64140
