,global_efficiency,local_efficiency,average_reachability,giant_component_ratio
1512,0.13800377905394312,0.48081396184877995,1.0,1.0
692,0.1376090549556862,0.4814552606502659,1.0,1.0
2335,0.13800359850304816,0.48038910463584333,1.0,1.0
944,0.1379735420164445,0.4809620579681786,1.0,1.0
1351,0.1377044104199023,0.4809251546727842,1.0,1.0
698,0.13799155947943376,0.48126096224979076,1.0,1.0
232,0.13756590711022734,0.48059725060373915,0.9963275923028522,0.9981604120676968
1639,0.13800461979778325,0.481307146613488,1.0,1.0
127,0.1379902000742745,0.48111734785856786,1.0,1.0
1480,0.13799873811583624,0.4818857408179099,1.0,1.0
259,0.13794938859078928,0.4801022165178293,1.0,1.0
1835,0.13800373698416396,0.4811569135990166,1.0,1.0
1009,0.1378792189172701,0.48063832452999306,1.0,1.0
2058,0.13540634851873884,0.4807583813465516,1.0,1.0
503,0.13790672911602336,0.48148386244132885,1.0,1.0
2362,0.13796794026431444,0.4817937614212947,1.0,1.0
802,0.13687152252265122,0.48028465149010624,1.0,1.0
2314,0.13796066811230498,0.4807697506842598,1.0,1.0
1704,0.1379453878442303,0.48146672356666315,1.0,1.0
314,0.13588616906395729,0.4804835550785989,1.0,1.0
681,0.13779773685936983,0.4812819092875492,1.0,1.0
783,0.13792260679972648,0.48107693266914603,1.0,1.0
542,0.1379073985211139,0.48096310560764033,1.0,1.0
1148,0.13800504713102194,0.4811569135990166,1.0,1.0
683,0.13751615899031935,0.4796440671785377,1.0,1.0
983,0.13787063021965737,0.481392087433228,1.0,1.0
1309,0.1379659029781561,0.4812645665523497,1.0,1.0
390,0.13650767113071918,0.48121310362639047,1.0,1.0
1005,0.13774202924114534,0.480513348639729,1.0,1.0
804,0.13776005451003154,0.4806187768348065,1.0,1.0
627,0.13768459716873382,0.48076738685306425,1.0,1.0
123,0.13794970002724832,0.4814985314489125,1.0,1.0
2330,0.1359636013450292,0.47995282087301194,1.0,1.0
529,0.13771766428681,0.47992087089925695,1.0,1.0
2007,0.13798452127426397,0.480870436932849,1.0,1.0
530,0.13796850113552186,0.4811922723549419,1.0,1.0
826,0.137951633392548,0.4813868842116214,1.0,1.0
382,0.13674509179196578,0.48095141773494826,0.9904798955644165,0.9952170713760118
381,0.13793889005044951,0.48133885052672243,1.0,1.0
158,0.13794683096359167,0.480952660938914,1.0,1.0
202,0.1380037814494166,0.48052035777482277,1.0,1.0
131,0.1378498335201599,0.48027055341353936,1.0,1.0
903,0.1379891322717818,0.48109267402042827,1.0,1.0
160,0.1379868749619697,0.48090871522719786,1.0,1.0
161,0.13801272909039228,0.48123575308182953,1.0,1.0
2140,0.1379841353704273,0.4809116352080428,1.0,1.0
92,0.1379841353704273,0.4809116352080428,1.0,1.0
1146,0.13770380566823043,0.47993412942826713,0.9985294125609082,0.9992641648270787
2168,0.13796255942370433,0.4812717424466292,1.0,1.0
1030,0.13705766641694442,0.4803705850184898,1.0,1.0
1786,0.1379453846760346,0.48096586254708446,1.0,1.0
2030,0.13794711656750708,0.48132247033923403,1.0,1.0
561,0.13794652977709826,0.4813148293643534,1.0,1.0
1384,0.13794756343097234,0.48126718597631624,1.0,1.0
317,0.13794769884414362,0.4812853340996888,1.0,1.0
752,0.1379590985747845,0.48130525115728384,1.0,1.0
997,0.13794783425731488,0.4812931633324777,1.0,1.0
2175,0.13711660477738732,0.48052621688883895,1.0,1.0
1508,0.13783036882942332,0.4810959569269904,1.0,1.0
1580,0.13794490897520084,0.4812971938169146,1.0,1.0
2020,0.137957966223691,0.48126868160306185,1.0,1.0
1254,0.1379586768204286,0.4812657616222169,1.0,1.0
1633,0.13796038120013623,0.4812970276382262,1.0,1.0
1625,0.1379549603939899,0.4813241801781257,1.0,1.0
47,0.13795911304503952,0.4813130714374498,1.0,1.0
2441,0.1379627941398678,0.48128485644885793,1.0,1.0
1573,0.13796798901380758,0.4813393322304205,1.0,1.0
1046,0.13797466371410066,0.4815724920112836,1.0,1.0
1256,0.13791673209331567,0.48147788361019817,1.0,1.0
957,0.1379924835390222,0.4813011606527559,1.0,1.0
2245,0.13797890521115846,0.4808376923084928,1.0,1.0
806,0.1379315571473072,0.48071968015957556,1.0,1.0
1942,0.1379300459295148,0.4805019791468948,1.0,1.0
891,0.1379706540779749,0.48126643019284066,1.0,1.0
502,0.1376176237261682,0.48003069665076226,1.0,1.0
1554,0.13795312510733884,0.4813493219858294,1.0,1.0
229,0.13795370479190094,0.4810452488957004,1.0,1.0
2282,0.13660293071374843,0.48110640232665475,1.0,1.0
413,0.13765795257295535,0.4813790867476683,1.0,1.0
46,0.13795866166780124,0.4812718498844336,1.0,1.0
148,0.13797004943365793,0.4813201717771657,1.0,1.0
898,0.13795886643859,0.4812672986549497,1.0,1.0
560,0.13794029890814113,0.4812709916712361,1.0,1.0
269,0.1378818970549099,0.4810367528864504,1.0,1.0
1899,0.13796984618247446,0.48128249523673944,1.0,1.0
1058,0.13796770489575375,0.48129436982550877,1.0,1.0
1620,0.13793089273065862,0.48124746329553447,1.0,1.0
1122,0.13795509622874816,0.4812632774983709,1.0,1.0
2433,0.1379312844764159,0.48144809915255615,1.0,1.0
2445,0.13794459041142304,0.4813273181499289,1.0,1.0
1521,0.1379614263616314,0.4812541108736703,1.0,1.0
2023,0.1379614263616314,0.4812541108736703,1.0,1.0
1377,0.1379445371619941,0.4815307390370596,1.0,1.0
177,0.1362537162424459,0.48123452977482095,1.0,1.0
514,0.13795533923670866,0.4813243483077939,1.0,1.0
2105,0.13726474658527926,0.48075502455326447,1.0,1.0
2477,0.13785152768784942,0.48038575329419175,1.0,1.0
1481,0.13798494367043668,0.48128256568382977,1.0,1.0
1066,0.13796312403770367,0.4813888839560788,1.0,1.0
99,0.1379727768787985,0.48086675930545897,1.0,1.0
504,0.13790478388166583,0.48118308383531433,1.0,1.0
1561,0.137976389977725,0.4814276761228144,1.0,1.0
2281,0.13787579156890034,0.48098881354761225,1.0,1.0
1569,0.13799069844654166,0.4812846432944431,1.0,1.0
147,0.13796236647408855,0.480827376727445,1.0,1.0
11,0.13798137843725064,0.48128777497389924,1.0,1.0
2234,0.13737641894134348,0.4812883247966953,1.0,1.0
2012,0.13796492235131017,0.48131494784961387,1.0,1.0
867,0.1379043948827002,0.4811182315197327,1.0,1.0
1885,0.13796374028971223,0.480815062988925,1.0,1.0
328,0.1379707139219948,0.4808926210545148,1.0,1.0
1833,0.1379081941560576,0.48130571960987667,1.0,1.0
1603,0.1379483007282497,0.4812936866631054,1.0,1.0
558,0.1379361675146885,0.4812779819938057,1.0,1.0
2357,0.1379589322809135,0.48128823350190114,1.0,1.0
1474,0.1379194372589242,0.4813345579704853,1.0,1.0
1040,0.13792496975630497,0.4807553630771139,1.0,1.0
288,0.13772807080166347,0.4811228802474274,1.0,1.0
1517,0.13770733590938503,0.48120632766291715,1.0,1.0
1498,0.13794947818767492,0.4809977729415819,1.0,1.0
1599,0.1379620809638325,0.4813727261854298,1.0,1.0
812,0.13795753165094413,0.48045718089819894,1.0,1.0
2032,0.1379464685921266,0.4810070614114461,1.0,1.0
1595,0.13795782361971837,0.4812858326613964,1.0,1.0
420,0.13775067053570933,0.48054442100711164,1.0,1.0
913,0.13796792927292878,0.4812059502489624,1.0,1.0
141,0.1379684393292077,0.48131244548974766,1.0,1.0
1163,0.13793820546477598,0.4809394981222477,1.0,1.0
1963,0.13789130442690295,0.4806667232913441,1.0,1.0
57,0.13789727656177875,0.48142403211207085,1.0,1.0
2240,0.1379678738180111,0.48098776876795224,1.0,1.0
1286,0.13795993168820053,0.4813356806335319,1.0,1.0
1827,0.13796797366698835,0.4813005745163908,1.0,1.0
924,0.13797484264554136,0.48125588143791964,1.0,1.0
523,0.1379700284006565,0.481279429176776,1.0,1.0
79,0.1379700284006565,0.481279429176776,1.0,1.0
1488,0.1379700284006565,0.481279429176776,1.0,1.0
1250,0.13795893228091366,0.48128823350190114,1.0,1.0
1562,0.13795190216277362,0.48130337006504037,1.0,1.0
2038,0.13779268991361796,0.48038294192447056,1.0,1.0
1923,0.13784150387948188,0.48142139499379744,1.0,1.0
1567,0.13784912316023443,0.4813938937524763,0.9992644355537104,0.9996320824135394
1999,0.13775185320548533,0.4807339094938695,1.0,1.0
1213,0.13796749052162682,0.481335374027181,1.0,1.0
786,0.13796872858490816,0.48133589880695526,1.0,1.0
2185,0.1379692702375938,0.48131802498481363,1.0,1.0
2176,0.13796499649554714,0.48094027295751934,1.0,1.0
1336,0.13796526732188957,0.48129515017497937,1.0,1.0
2293,0.13796526732188957,0.48129515017497937,1.0,1.0
493,0.13796513190871834,0.48127442494730044,1.0,1.0
134,0.1379609500248612,0.4812775478841262,1.0,1.0
240,0.1379382131345559,0.48129496822709583,1.0,1.0
2339,0.137936777037703,0.48135460832215055,1.0,1.0
2152,0.13708077366719765,0.47988082010065236,0.9963275923028522,0.9981604120676968
253,0.13798537014106746,0.48111991451871716,1.0,1.0
90,0.13798205414997186,0.4812780400696488,1.0,1.0
291,0.13796445545087918,0.48138989823781997,1.0,1.0
705,0.13782186432993998,0.4815033850770567,1.0,1.0
1903,0.13795567818611046,0.4814878597357022,1.0,1.0
582,0.13798435283104207,0.4815503922485658,1.0,1.0
2108,0.13762934006185049,0.4801888332573159,1.0,1.0
1874,0.1379714864465241,0.4816057371162727,1.0,1.0
1875,0.13798420762908398,0.48093694919582924,1.0,1.0
578,0.13780785656568328,0.4814064091161721,1.0,1.0
1054,0.13783386159048158,0.48132627248802223,1.0,1.0
2322,0.13779968158848072,0.48147716062640117,1.0,1.0
1178,0.13796857699612655,0.48181551527858946,1.0,1.0
387,0.1376379374765647,0.48145112600231654,1.0,1.0
426,0.1379836329360292,0.4818469050726724,1.0,1.0
980,0.13796363115353164,0.48147070282130794,1.0,1.0
1462,0.13788317176528364,0.4812355124385588,1.0,1.0
686,0.13796590297815592,0.4812645665523497,1.0,1.0
2295,0.13796590297815592,0.4812645665523497,1.0,1.0
1604,0.13787328507275795,0.4810709688294809,1.0,1.0
415,0.1379726940956239,0.48127437248303173,1.0,1.0
389,0.13023578735431313,0.4808222605788587,1.0,1.0
1248,0.13795307455047187,0.4814624906977468,1.0,1.0
684,0.13789174444463428,0.4813585363627756,1.0,1.0
2340,0.13795897709622512,0.4813453528097388,1.0,1.0
1796,0.13797873197004057,0.4812937412468817,1.0,1.0
2172,0.13795954737272392,0.4813340189780682,1.0,1.0
1171,0.13797263817854732,0.48135864612406754,1.0,1.0
1181,0.13797121078544813,0.4813024021568923,1.0,1.0
2137,0.13787089313334588,0.4815660759149117,1.0,1.0
1407,0.1379744046691919,0.4812647338917154,1.0,1.0
1714,0.13789480953380465,0.48143388705479795,1.0,1.0
2284,0.13766836193012283,0.4809929212808668,0.9977949310215336,0.9988962472406181
1189,0.13797118820241683,0.4813555099022854,1.0,1.0
1431,0.13776903665510695,0.48086485578764304,0.9985294125609083,0.9992641648270787
1893,0.13794548729346232,0.4804047891529995,1.0,1.0
1047,0.1379666013471932,0.48100556997085175,1.0,1.0
